location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Svalbard,Endalen,NNW moss,2016,warming,A4,a,G,3,A4.aG3,2.078,1.0548,,,40.4,4,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A4,b,G,3,A4.bG3,2.082,1.2269,,,47.2,1,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A4,a,R,3,A4.aR3,2.237,1.736,,,40.4,5,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A4,b,R,3,A4.bR3,2.205,1.9723,,,47.2,1,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,a,G,F,A5.aGF,2.028,0.9212,,,38.8,1,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,b,G,F,A5.bGF,2.030,0.9436,,,28.4,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,a,R,F,A5.aRF,2.209,1.7136,,,38.8,7,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,b,R,F,A5.bRF,2.188,1.6918,,,28.4,2,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,a,G,3,A5.aG3,2.055,1.2007,,,49.4,4,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,b,G,3,A5.bG3,2.028,1.1854,,,46.1,3,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,a,R,3,A5.aR3,2.224,1.8761,,,49.4,5,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A5,b,R,3,A5.bR3,2.196,1.7942,,,46.1,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,a,G,F,A6.aGF,2.021,1.0149,,,84.8,10,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,b,G,F,A6.bGF,2.058,1.0316,,,56.9,3,,DRYOCT,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,a,R,F,A6.aRF,2.227,1.6576,,,84.8,9,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,b,R,F,A6.bRF,2.235,1.6753,,,56.9,3,,DRYOCT,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,a,G,3,A6.aG3,2.011,1.1077,,,59.4,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,b,G,3,A6.bG3,2.097,1.2086,,,54.5,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,a,R,3,A6.aR3,2.276,1.8543,,,59.4,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A6,b,R,3,A6.bR3,2.176,1.7756,,,54.5,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,a,G,F,A7.aGF,2.076,1.0342,,,33.9,1,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,b,G,F,A7.bGF,1.988,1.034,,,50.5,2,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,a,R,F,A7.aRF,2.240,1.7281,,,33.9,5,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,b,R,F,A7.bRF,2.163,1.784,,,50.5,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,a,G,3,A7.aG3,2.067,1.0976,,,52.1,3,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,b,G,3,A7.bG3,2.093,1.1255,,,22.5,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,a,R,3,A7.aR3,2.210,1.7742,,,52.1,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,A7,b,R,3,A7.bR3,2.197,1.7359,,,22.5,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,a,G,F,A8.aGF,2.095,1.0624,,,32.4,5,,BISVIV,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,b,G,F,A8.bGF,1.983,0.8964,,,56.8,10,,DRYOCT,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,a,R,F,A8.aRF,2.222,1.7031,,,32.4,3,,BISVIV,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,b,R,F,A8.bRF,2.223,1.6916,,,56.8,10,,DRYOCT,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,a,G,3,A8.aG3,2.085,1.0995,,,36.9,5,,BISVIV,4,,,,,,,
