location	site	habitat	year	ttm	plot.code	teabag.pair	tea.type	length	code	initial.weight	final.weight	soil.moisture.1	soil.moisture.2	soil.moisture.m	moss.thickness	litter.thickness	shrubs	soil.depth	burial.date	recovery.date	days.buried	ph.1	ph.2	ph.m	comments
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG5	a	R	3	AG5.aR3	2.1665	1.5509			44.6	3.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG5	b	R	3	AG5.bR3	2.1801	1.6298			50.1	0				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG6	a	G	3	AG6.aG3	1.9445	0.9357			33.5	4				12.6.2016	25.9.2016	105	5.78	5.77	5.78	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG6	b	G	3	AG6.bG3	2.1393	1.0807			26.6	3				12.6.2016	25.9.2016	105	5.74	5.71	5.73	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG6	a	R	3	AG6.aR3	2.1498	1.6847			33.5	8				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG6	b	R	3	AG6.bR3	2.1412	1.6006			26.6	1.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG7	a	G	3	AG7.aG3	2.0312	0.9395			45.1	2				12.6.2016	25.9.2016	105	5.68	5.67	5.68	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG7	b	G	3	AG7.bG3	1.8904	0.9015			38.5	3				12.6.2016	25.9.2016	105	5.92	5.84	5.88	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG7	a	R	3	AG7.aR3	2.1418	1.5904			45.1	7				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG7	b	R	3	AG7.bR3	2.2011	1.6666			38.5	1				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG8	a	G	3	AG8.aG3	2.1006	NA			35.1	3				12.6.2016	25.9.2016	105	5.72	5.82	5.77	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG8	b	G	3	AG8.bG3	2.0415	1.1047			38.2	0		EMPNIG		12.6.2016	25.9.2016	105	5.71	5.73	5.72	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG8	a	R	3	AG8.aR3	2.1945	1.6281			35.1	8		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG8	b	R	3	AG8.bR3	2.1565	1.5674			38.2	1.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG9	a	G	3	AG9.aG3	2.0627	0.9918			29.9	8				12.6.2016	25.9.2016	105	5.89	5.90	5.90	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG9	b	G	3	AG9.bG3	1.9847	1.032			39	7				12.6.2016	25.9.2016	105	5.94	6.00	5.97	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG9	a	R	3	AG9.aR3	2.1894	1.6727			29.9	2				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG9	b	R	3	AG9.bR3	2.2155	1.6121			39	8				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO1	a	G	3	AO1.aG3	1.9995	0.8751			26.3	0	3	BETNAN		12.6.2016	25.9.2016	105	5.90	5.83	5.87	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO1	b	G	3	AO1.bG3	2.0104	0.8296			30.3	2		EMPNIG		12.6.2016	25.9.2016	105	5.92	5.90	5.91	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO1	a	R	3	AO1.aR3	2.2142	1.7221			26.3	4		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO1	b	R	3	AO1.bR3	2.2023	1.6046			30.3	ath		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO10	a	G	3	AO10.aG3	2.0656	1.078			27.9	4				12.6.2016	25.9.2016	105	5.67	5.87	5.77	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO10	b	G	3	AO10.bG3	2.0651	0.9683			27.7	1				12.6.2016	25.9.2016	105	5.82	5.81	5.82	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO10	a	R	3	AO10.aR3	2.2312	1.6541			27.9	3				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO10	b	R	3	AO10.bR3	2.2218	1.7302			27.7	0	3	BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO2	a	G	3	AO2.aG3	2.0345	0.8712			27	0	3	BETNAN, EMPNIG		12.6.2016	25.9.2016	105	5.81	5.90	5.86	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO2	b	G	3	AO2.bG3	2.0807	0.8679			35.7	0	4	BETNAN		12.6.2016	25.9.2016	105	6.09	5.98	6.04	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO2	a	R	3	AO2.aR3	2.1732	1.6274			27	0	4	BETNAN, EMPNIG		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO2	b	R	3	AO2.bR3	2.2171	1.6553			35.7	0	2	BETNAN, EMPNIG		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO3	a	G	3	AO3.aG3	2.1892	0.9277			33.8	6		BETNAN		12.6.2016	25.9.2016	105	5.67	5.73	5.70	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO3	b	G	3	AO3.bG3	2.0827	0.868			53.3	0	4	BETNAN, EMPNIG		12.6.2016	25.9.2016	105	5.86	5.77	5.82	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO3	a	R	3	AO3.aR3	2.1974	1.6582			33.8	0	3	EMPNIG, VACULI		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO3	b	R	3	AO3.bR3	2.1349	1.5729			53.3	2		EMPNIG, BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO4	a	G	3	AO4.aG3	2.0438	1.1633			31.4	3.5				12.6.2016	25.9.2016	105	6.01	5.98	6.00	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO4	b	G	3	AO4.bG3	2.0121	0.8349			34	3		SILACA		12.6.2016	25.9.2016	105	5.72	5.78	5.75	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO4	a	R	3	AO4.aR3	2.1574	1.5979			31.4	4				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO4	b	R	3	AO4.bR3	2.1467	NA			34	3.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO5	a	G	3	AO5.aG3	2.0308	1.0852			30.7	3		SAL		12.6.2016	25.9.2016	105	5.47	5.45	5.46	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO5	b	G	3	AO5.bG3	2.0772	0.8825			37.4	0	1.5			12.6.2016	25.9.2016	105	5.64	5.64	5.64	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO5	a	R	3	AO5.aR3	2.2052	1.6965			30.7	0	1	BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO5	b	R	3	AO5.bR3	2.1489	1.6733			37.4	1				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO6	a	G	3	AO6.aG3	2.0634	1.0133			32.5	5		BETNAN, SALLAN		12.6.2016	25.9.2016	105	6.22	6.22	6.22	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO6	b	G	3	AO6.bG3	2.0133	0.94			41.4	4.5				12.6.2016	25.9.2016	105	5.92	5.92	5.92	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO6	a	R	3	AO6.aR3	2.1883	1.6383			32.5	8.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO6	b	R	3	AO6.bR3	2.1457	1.6925			41.4	0	4	BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO7	a	G	3	AO7.aG3	1.9216	0.8315			43.4	0	4	EMPNIG		12.6.2016	25.9.2016	105	5.63	5.67	5.65	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO7	b	G	3	AO7.bG3	2.1023	0.9998			42.2	1				12.6.2016	25.9.2016	105	5.69	5.65	5.67	
Iceland	Audkuluheidi	shrub heath	2016	warming	AO7	a	R	3	AO7.aR3	2.1296	1.5761			43.4	4				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO7	b	R	3	AO7.bR3	2.1813	1.6005			42.2	2				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	warming	AO8	a	G	3	AO8.aG3	2.1450	1.0136			35.1	2				12.6.2016	25.9.2016	105	5.75	5.71	5.73	
